gender,first_name,last_name,email,password,phone_number,birth_date,blood_type,length,weight,chronic_disease,genetic_disease,other_info
0,Abd Allah,Ibrahim,AbdAllahIbrahim21@gmail.com,123123,0987309077,1981-9-5,0,160,58,Hypertension,Rett Syndrome,"Family History: Diabetes, Heart Disease"
1,Laila,Awad,LailaAwad22@gmail.com,123123,0979770977,1994-12-4,3,169,61,Chronic Obstructive Pulmonary Disease (COPD),Tay-Sachs Disease,Previous Surgeries: Knee Replacement (2019)
0,Khaled,Kurdi,KhaledKurdi23@gmail.com,123123,0977001273,1989-5-9,0,171,52,Parkinsons Disease,Duchenne Muscular Dystrophy,Previous Surgeries: Gallbladder Removal (2020)
0,Mazen,Homsi,MazenHomsi24@gmail.com,123123,092663721,1984-5-24,4,171,76,Cancer,Williams Syndrome,Previous Surgeries: Gallbladder Removal (2020)
0,Issam,Turkman,IssamTurkman25@gmail.com,123123,0944576220,1990-4-12,4,160,65,Epilepsy,Hemophilia,"Family History: Asthma, Allergies"
0,Abd Alghani,Haj,AbdAlghaniHaj26@gmail.com,123123,0958465287,1992-5-16,4,161,56,Hypertension,Hemophilia,"Vaccination History: COVID-19 (Pfizer, 2 doses)"
0,Ahmad,Mahmoud,AhmadMahmoud27@gmail.com,123123,0976065462,1993-12-4,4,168,76,Crohns Disease,Hemophilia,Medications: Levothyroxine
0,Saeed,Ibrahim,SaeedIbrahim28@gmail.com,123123,091190610,1995-12-3,7,163,115,Fibromyalgia,Cystic Fibrosis,Vaccination History: Tetanus-Diphtheria (10 years ago)
0,Bilal,Ali,BilalAli29@gmail.com,123123,0930952469,1992-5-2,6,179,62,Obesity,Turner Syndrome,Vaccination History: Tetanus-Diphtheria (10 years ago)
1,haifaa,Halabi,haifaaHalabi30@gmail.com,123123,097381748,1982-1-26,0,174,67,HIV/AIDS,Spinal Muscular Atrophy (SMA),"Family History: Hypertension, Stroke"
0,Moayyad,Habib,MoayyadHabib31@gmail.com,123123,0995618472,1993-11-15,6,160,85,Chronic Obstructive Pulmonary Disease (COPD),Turner Syndrome,"Family History: Hypertension, Stroke"
1,Asmaa,Shamma,AsmaaShamma32@gmail.com,123123,0926410942,1994-5-6,5,168,113,Alzheimers Disease,Neurofibromatosis,Vaccination History: Influenza (Yearly)
0,Suliman,Awad,SulimanAwad33@gmail.com,123123,0988787817,1993-6-26,5,178,97,Hypertension,Hemophilia,"Family History: Cancer, Alzheimers Disease"
1,Zainab,Ali,ZainabAli34@gmail.com,123123,0964433770,1990-2-22,4,169,72,Cancer,Turner Syndrome,"Family History: Cancer, Alzheimers Disease"
1,Judy,AlHelo,JudyAlHelo35@gmail.com,123123,0998383250,1980-8-22,5,171,69,Heart Disease,Color Blindness,Previous Surgeries: None
0,Ismaiel,Horani,IsmaielHorani36@gmail.com,123123,0955474169,1991-4-5,3,177,55,Lupus,Phenylketonuria (PKU),"Vaccination History: COVID-19 (Pfizer, 2 doses)"
1,Sali,Abd Almalek,SaliAbdAlmalek37@gmail.com,123123,0959682747,1994-6-27,2,167,86,Multiple Sclerosis,Tay-Sachs Disease,"Family History: Diabetes, Heart Disease"
1,Sedra,AlShami,SedraAlShami38@gmail.com,123123,0925646516,1985-6-13,0,169,105,Multiple Sclerosis,Huntingtons Disease,"Previous Surgeries: Appendectomy (2015), Tonsillectomy (2008)"
0,Anas,Abd Almalek,AnasAbdAlmalek39@gmail.com,123123,0968497360,1980-6-27,3,180,59,Rheumatoid Arthritis,Marfan Syndrome,Medications: Levothyroxine
1,Aya,Awad,AyaAwad40@gmail.com,123123,0968342221,1985-6-25,6,163,107,Chronic Kidney Disease,Marfan Syndrome,"Family History: Diabetes, Heart Disease"
0,Khaled,Mohammad,KhaledMohammad41@gmail.com,123123,0948230993,1986-10-17,2,170,86,Osteoporosis,Spinal Muscular Atrophy (SMA),Previous Surgeries: Gallbladder Removal (2020)
0,Kamel,Koja,KamelKoja42@gmail.com,123123,0943351952,1993-12-12,0,164,103,Chronic Kidney Disease,Polycystic Kidney Disease,Medications: Levothyroxine
1,Sali,Horani,SaliHorani43@gmail.com,123123,0941193181,1992-10-14,3,161,67,Heart Disease,Williams Syndrome,"Family History: Asthma, Allergies"
0,Khaled,Saleh,KhaledSaleh44@gmail.com,123123,0980315871,1990-5-4,4,162,112,Chronic Kidney Disease,Rett Syndrome,"Family History: Asthma, Allergies"
1,Sali,Abd Almajeed,SaliAbdAlmajeed45@gmail.com,123123,0969566631,1984-1-13,1,164,60,Asthma,Tay-Sachs Disease,Medications: Levothyroxine
0,Abd Alghani,Awad,AbdAlghaniAwad46@gmail.com,123123,0912527027,1981-10-17,6,176,114,Alzheimers Disease,Hemophilia,Vaccination History: None
1,Batoul,Horani,BatoulHorani47@gmail.com,123123,0972034809,1986-5-15,6,180,89,Chronic Migraines,Down Syndrome,Vaccination History: None
0,Bilal,Turkman,BilalTurkman48@gmail.com,123123,0960081495,1995-12-20,1,170,116,Heart Disease,Hemophilia,"Family History: Hypertension, Stroke"
1,Maya,Awad,MayaAwad49@gmail.com,123123,0928701824,1988-9-23,0,161,107,Lupus,Neurofibromatosis,Previous Surgeries: Gallbladder Removal (2020)
1,Sara,Horani,SaraHorani50@gmail.com,123123,0976377997,1995-3-25,4,166,115,Crohns Disease,Tay-Sachs Disease,"Family History: Hypertension, Stroke"
1,Maya,Turkman,MayaTurkman51@gmail.com,123123,0933814143,1995-7-8,7,164,111,Lupus,Muscular Dystrophy,"Family History: Cancer, Alzheimers Disease"
0,Mazen,Koja,MazenKoja52@gmail.com,123123,0918288845,1985-7-13,2,172,117,Epilepsy,Turner Syndrome,Allergies: None
0,Khaled,Shamma,KhaledShamma53@gmail.com,123123,0976451094,1990-4-7,3,170,72,Chronic Kidney Disease,Phenylketonuria (PKU),Previous Surgeries: Knee Replacement (2019)
1,Sara,Homsi,SaraHomsi54@gmail.com,123123,0961523781,1981-11-19,4,166,57,Heart Disease,Cystic Fibrosis,Medications: Sertraline
0,Anas,AlHelo,AnasAlHelo55@gmail.com,123123,0941363781,1983-1-16,2,179,101,Asthma,Hemophilia,"Family History: Asthma, Allergies"
1,Asmaa,AlShami,AsmaaAlShami56@gmail.com,123123,0986376683,1988-8-28,3,172,59,Hypertension,Williams Syndrome,Previous Surgeries: Gallbladder Removal (2020)
1,Asmaa,Zarefa,AsmaaZarefa57@gmail.com,123123,0978401432,1980-1-11,0,176,73,Obesity,Fragile X Syndrome,Vaccination History: Influenza (Yearly)
1,Nour,AlShami,NourAlShami58@gmail.com,123123,0984690404,1992-9-10,7,179,107,HIV/AIDS,Tay-Sachs Disease,Vaccination History: None
0,Fadi,Habib,FadiHabib59@gmail.com,123123,0993143438,1991-1-13,7,176,93,Arthritis,Hemophilia,Allergies: Shellfish
0,Munzer,Homsi,MunzerHomsi60@gmail.com,123123,0923015513,1990-10-7,7,163,116,Asthma,Hemophilia,Previous Surgeries: Gallbladder Removal (2020)
0,Ahmad,Shamma,AhmadShamma61@gmail.com,123123,0919608417,1985-7-4,1,166,92,Crohns Disease,Marfan Syndrome,Medications: Sertraline
0,Fadi,Mohammad,FadiMohammad62@gmail.com,123123,0940319936,1980-9-24,5,178,75,Obesity,Rett Syndrome,"Allergies: Dust Mites, Pollen"
0,Ammar,Shamma,AmmarShamma63@gmail.com,123123,092081208,1982-12-1,4,162,107,Arthritis,Tay-Sachs Disease,Previous Surgeries: None
1,Sara,Awad,SaraAwad64@gmail.com,123123,0930263784,1990-9-24,4,172,96,Chronic Obstructive Pulmonary Disease (COPD),Williams Syndrome,"Vaccination History: COVID-19 (Pfizer, 2 doses)"
0,Mahmoud,Ahmad,MahmoudAhmad65@gmail.com,123123,0922083397,1983-10-27,1,165,54,Chronic Kidney Disease,Prader-Willi Syndrome,Medications: Levothyroxine
1,Sedra,Haj,SedraHaj66@gmail.com,123123,0949828086,1982-6-5,2,168,97,Multiple Sclerosis,Marfan Syndrome,"Allergies: Penicillin, Peanuts"
0,Khaled,Zarefa,KhaledZarefa67@gmail.com,123123,0983340177,1984-3-5,0,172,95,Epilepsy,Fragile X Syndrome,"Vaccination History: COVID-19 (Pfizer, 2 doses)"
1,Reem,Awad,ReemAwad68@gmail.com,123123,0998611005,1983-12-23,4,166,110,Chronic Migraines,Down Syndrome,"Allergies: Penicillin, Peanuts"
0,Issam,AlMasri,IssamAlMasri69@gmail.com,123123,0936045171,1994-9-11,7,175,76,Heart Disease,Williams Syndrome,Allergies: Shellfish
0,Mohammad,Ali,MohammadAli70@gmail.com,123123,0989276696,1987-4-28,2,179,93,Epilepsy,Down Syndrome,"Allergies: Dust Mites, Pollen"
0,Ahmad,Horani,AhmadHorani71@gmail.com,123123,0918135955,1988-10-22,5,174,72,Alzheimers Disease,Muscular Dystrophy,Medications: None
1,Laila,Ibrahim,LailaIbrahim72@gmail.com,123123,0995118226,1994-12-12,5,174,85,Fibromyalgia,Hemophilia,"Allergies: Penicillin, Peanuts"
1,Maya,Abd Almalek,MayaAbdAlmalek73@gmail.com,123123,0936252086,1980-4-7,5,165,61,Cancer,Spinal Muscular Atrophy (SMA),Allergies: None
1,Maya,Zarefa,MayaZarefa74@gmail.com,123123,0913759160,1992-1-26,5,164,84,Diabetes,Spinal Muscular Atrophy (SMA),Medications: Sertraline
0,Moayyad,Ibrahim,MoayyadIbrahim75@gmail.com,123123,0970483537,1982-11-22,2,177,75,Chronic Obstructive Pulmonary Disease (COPD),Marfan Syndrome,"Medications: Lisinopril, Metformin"
1,Mariam,Homsi,MariamHomsi76@gmail.com,123123,0941557651,1994-6-10,7,179,53,Osteoporosis,Duchenne Muscular Dystrophy,Medications: Sertraline
0,Ahmad,AlShami,AhmadAlShami77@gmail.com,123123,092311219,1992-1-19,5,171,103,Fibromyalgia,Polycystic Kidney Disease,"Family History: Hypertension, Stroke"
1,Lilian,Kurdi,LilianKurdi78@gmail.com,123123,0986465197,1985-7-28,0,170,66,Osteoporosis,Marfan Syndrome,"Allergies: Penicillin, Peanuts"
0,Ammar,Awad,AmmarAwad79@gmail.com,123123,0924838605,1981-12-4,0,179,118,Parkinsons Disease,Klinefelter Syndrome,"Vaccination History: COVID-19 (Pfizer, 2 doses)"
1,Nour,Koja,NourKoja80@gmail.com,123123,0947958052,1986-5-24,5,176,120,Arthritis,Down Syndrome,"Allergies: Dust Mites, Pollen"
0,Issam,Saleh,IssamSaleh81@gmail.com,123123,095176335,1995-10-11,5,172,74,Osteoporosis,Klinefelter Syndrome,Medications: None
1,Maya,AlMasri,MayaAlMasri82@gmail.com,123123,0955369214,1990-9-28,0,161,106,Hypertension,Polycystic Kidney Disease,Previous Surgeries: None
0,Ammar,Abd Almalek,AmmarAbdAlmalek83@gmail.com,123123,0955384811,1988-7-28,0,164,62,Parkinsons Disease,Klinefelter Syndrome,"Medications: Lisinopril, Metformin"
1,Ghofran,Mahmoud,GhofranMahmoud84@gmail.com,123123,0970285307,1995-4-14,6,174,70,Parkinsons Disease,Williams Syndrome,Vaccination History: None
0,Issam,Turkman,IssamTurkman85@gmail.com,123123,0988851190,1994-7-18,4,162,103,Chronic Kidney Disease,Klinefelter Syndrome,Previous Surgeries: Knee Replacement (2019)
0,Abd Allah,Awad,AbdAllahAwad86@gmail.com,123123,0979746597,1986-12-14,6,161,103,Hypertension,Fragile X Syndrome,Medications: Sertraline
0,Suliman,Zarefa,SulimanZarefa87@gmail.com,123123,0978971876,1993-12-6,6,180,91,Chronic Obstructive Pulmonary Disease (COPD),Hemophilia,Previous Surgeries: None
0,Ammar,AlShami,AmmarAlShami88@gmail.com,123123,0954723665,1995-10-16,6,166,100,Cancer,Neurofibromatosis,Medications: None
1,Asmaa,Mohammad,AsmaaMohammad89@gmail.com,123123,0960315156,1995-11-10,4,166,55,Crohns Disease,Klinefelter Syndrome,Allergies: None
0,Mazen,Mohammad,MazenMohammad90@gmail.com,123123,0983602760,1987-8-27,3,174,94,Obesity,Turner Syndrome,"Family History: Hypertension, Stroke"
1,Reem,Awad,ReemAwad91@gmail.com,123123,0971681550,1985-3-12,1,168,67,Chronic Migraines,Color Blindness,"Family History: Hypertension, Stroke"
0,Mohammad,Shamma,MohammadShamma92@gmail.com,123123,0916683422,1994-1-24,0,164,113,Osteoporosis,Neurofibromatosis,Medications: Sertraline
0,Abd Alrahman,Abd Almajeed,AbdAlrahmanAbdAlmajeed93@gmail.com,123123,099106464,1990-2-9,7,172,101,Fibromyalgia,Huntingtons Disease,Previous Surgeries: None
1,Layan,Abd Alrahim,LayanAbdAlrahim94@gmail.com,123123,0933449745,1982-1-3,3,165,95,Crohns Disease,Hemophilia,Previous Surgeries: None
1,Maya,Abd Almalek,MayaAbdAlmalek95@gmail.com,123123,0992508361,1994-11-26,0,166,115,Obesity,Turner Syndrome,Vaccination History: Influenza (Yearly)
0,Issam,Koja,IssamKoja96@gmail.com,123123,0960323070,1983-2-18,7,161,120,Rheumatoid Arthritis,Rett Syndrome,Allergies: None
1,Hiba,AlHelo,HibaAlHelo97@gmail.com,123123,0992301197,1993-10-1,2,171,83,Fibromyalgia,Spinal Muscular Atrophy (SMA),Previous Surgeries: Knee Replacement (2019)
1,Judy,Halabi,JudyHalabi98@gmail.com,123123,0935034594,1988-6-5,3,163,113,Heart Disease,Duchenne Muscular Dystrophy,"Vaccination History: COVID-19 (Pfizer, 2 doses)"
0,Saeed,Awad,SaeedAwad99@gmail.com,123123,0922016204,1989-12-9,0,162,119,Obesity,Spinal Muscular Atrophy (SMA),"Family History: Cancer, Alzheimers Disease"
1,Sedra,Abd Alrahim,SedraAbdAlrahim100@gmail.com,123123,0961127334,1986-5-6,0,171,52,Epilepsy,Phenylketonuria (PKU),"Family History: Hypertension, Stroke"
