gender,first_name,last_name,email,password,phone_number,birth_date,available_for_meeting
1,Layan,Koja,LayanKoja185@gmail.com,123123,0996058223,1993-6-22,1
1,Sara,AlMasri,SaraAlMasri186@gmail.com,123123,0994356305,1983-6-10,0
1,Sali,Ali,SaliAli187@gmail.com,123123,0983305251,1993-12-13,1
0,Abd Allah,Mohammad,AbdAllahMohammad188@gmail.com,123123,0957318528,1991-1-14,0
1,Batoul,Abd Almajeed,BatoulAbdAlmajeed189@gmail.com,123123,092581424,1985-7-28,0
0,Khaled,Ahmad,KhaledAhmad190@gmail.com,123123,0964879653,1989-11-20,0
0,Munzer,Mahmoud,MunzerMahmoud191@gmail.com,123123,098866059,1993-10-19,0
1,Lilian,AlHelo,LilianAlHelo192@gmail.com,123123,0935350833,1991-3-12,1
0,Bilal,Haj,BilalHaj193@gmail.com,123123,0953700969,1989-1-14,1
1,Aya,Ali,AyaAli194@gmail.com,123123,0953152274,1982-5-22,0
1,Judy,Koja,JudyKoja195@gmail.com,123123,0959496318,1995-12-28,0
0,Ismaiel,Awad,IsmaielAwad196@gmail.com,123123,0927659712,1982-2-24,1
0,Mohammad,Homsi,MohammadHomsi197@gmail.com,123123,0950505280,1992-10-16,1
0,Suliman,AlMasri,SulimanAlMasri198@gmail.com,123123,0957749228,1988-6-8,0
0,Moayyad,Abd Alrahim,MoayyadAbdAlrahim199@gmail.com,123123,095100410,1991-4-23,0
0,Suliman,Zarefa,SulimanZarefa200@gmail.com,123123,0976657951,1988-12-26,0
